상품명,가격,카테고리,설명
오버핏 반팔 티셔츠,19900,상의,부드러운 면 소재의 데일리 반팔 티셔츠
베이직 긴팔 티셔츠,24900,상의,간절기에 입기 좋은 기본 긴팔 티셔츠
스트라이프 셔츠,32900,상의,캐주얼하게 코디하기 좋은 스트라이프 셔츠
린넨 셔츠,35900,상의,통기성이 좋아 여름에 시원한 린넨 셔츠
오버핏 후드티,45900,상의,편안한 착용감의 캐주얼 후드티
맨투맨 티셔츠,39900,상의,데일리룩으로 활용하기 좋은 기본 맨투맨
니트 가디건,49900,아우터,쌀쌀한 날씨에 걸치기 좋은 니트 가디건
크롭 니트,42900,상의,포인트 코디에 좋은 짧은 기장 니트
브이넥 니트,38900,상의,단정한 분위기의 브이넥 니트
기본 나시,12900,상의,이너로 활용하기 좋은 슬리브리스 탑
와이드 데님 팬츠,49900,하의,넉넉한 핏의 캐주얼 데님 팬츠
슬림 데님 팬츠,45900,하의,깔끔한 실루엣의 슬림핏 청바지
부츠컷 데님 팬츠,47900,하의,다리가 길어 보이는 부츠컷 데님
코튼 와이드 팬츠,39900,하의,편안한 착용감의 면 와이드 팬츠
슬랙스 팬츠,42900,하의,출근룩과 데일리룩에 어울리는 슬랙스
밴딩 조거 팬츠,34900,하의,활동성이 좋은 편안한 조거 팬츠
카고 팬츠,44900,하의,포켓 디테일이 있는 스트릿 무드 팬츠
플리츠 스커트,37900,스커트,여성스러운 분위기의 주름 스커트
미니 스커트,32900,스커트,경쾌한 느낌의 데일리 미니 스커트
롱 스커트,39900,스커트,차분한 분위기의 롱 기장 스커트
트렌치코트,89900,아우터,봄가을에 입기 좋은 클래식 트렌치코트
데님 자켓,69900,아우터,캐주얼 코디에 잘 어울리는 데님 자켓
블레이저 자켓,79900,아우터,격식 있는 코디에 활용하기 좋은 자켓
레더 자켓,99000,아우터,시크한 분위기의 인조가죽 자켓
숏 패딩,119000,아우터,겨울철 보온성이 좋은 짧은 기장 패딩
롱 패딩,159000,아우터,추운 날씨에 따뜻하게 입기 좋은 롱 패딩
바람막이 점퍼,59900,아우터,가볍게 걸치기 좋은 생활 방수 점퍼
후리스 집업,54900,아우터,포근한 착용감의 플리스 집업
니트 베스트,32900,상의,셔츠나 티셔츠 위에 레이어드하기 좋은 베스트
셔츠 원피스,55900,원피스,단정하면서 편안한 셔츠형 원피스
플라워 원피스,59900,원피스,화사한 패턴의 데이트룩 원피스
니트 원피스,64900,원피스,따뜻하고 여성스러운 분위기의 니트 원피스
후드 원피스,49900,원피스,캐주얼하게 입기 좋은 편안한 원피스
롱 원피스,62900,원피스,차분한 무드의 긴 기장 원피스
기본 운동화,59000,신발,데일리로 신기 좋은 심플한 운동화
캔버스 스니커즈,39900,신발,캐주얼룩에 어울리는 캔버스화
로퍼,69900,신발,단정한 코디에 잘 맞는 클래식 로퍼
앵클 부츠,79000,신발,가을겨울 코디에 어울리는 앵클부츠
샌들,29900,신발,여름철 가볍게 신기 좋은 샌들
슬리퍼,19900,신발,편안하게 착용 가능한 데일리 슬리퍼
미니 크로스백,34900,가방,가볍게 들기 좋은 작은 크로스백
토트백,45900,가방,수납력이 좋은 데일리 토트백
백팩,59900,가방,학생과 직장인에게 적합한 실용적인 백팩
에코백,19900,가방,가볍고 편하게 들 수 있는 기본 에코백
볼캡,18900,잡화,햇빛 차단과 포인트 코디에 좋은 모자
비니,16900,잡화,겨울철 따뜻하게 착용 가능한 니트 모자
머플러,24900,잡화,보온성과 스타일을 더해주는 겨울 머플러
벨트,15900,잡화,팬츠 코디에 활용하기 좋은 기본 벨트
양말 세트,9900,잡화,데일리로 신기 좋은 베이직 양말 세트
레이어드 목걸이,21900,악세서리,심플한 코디에 포인트를 주는 목걸이
